split,sell_rsi,geuk,chim,jung,sang,weight,final_asset,return_rate,mdd,score
10,70,4,3,1,1,equal,410400198,310.4,-28.56,214.81
10,70,4,2,1,1,equal,410400198,310.4,-28.56,214.81
10,70,4,0,1,1,equal,410400198,310.4,-28.56,214.81
10,70,4,1,1,1,equal,410400198,310.4,-28.56,214.81
10,70,2,2,1,1,equal,409892867,309.89,-28.64,214.48
10,70,2,3,1,1,equal,409892867,309.89,-28.64,214.48
10,70,2,0,1,1,equal,409892867,309.89,-28.64,214.48
10,70,2,1,1,1,equal,409892867,309.89,-28.64,214.48
10,70,3,3,1,1,equal,409466240,309.47,-28.71,214.2
10,70,3,2,1,1,equal,409466240,309.47,-28.71,214.2
