분할수,매도RSI,매수모드,최종자산,수익률(%),MDD(%),점수
10,70,침체+상승,352349528,252.35,-67.14,3.76
15,70,침체+상승,337519396,237.52,-65.29,3.64
5,75,침체+상승,359689682,259.69,-71.95,3.61
7,70,침체+상승,351196065,251.2,-69.75,3.6
5,70,침체+상승,353842085,253.84,-71.02,3.57
7,75,침체+상승,351812561,251.81,-72.23,3.49
10,65,침체+상승,332480473,232.48,-66.66,3.49
10,75,침체+상승,347563582,247.56,-71.84,3.45
7,65,침체+상승,329329402,229.33,-69.57,3.3
20,70,침체+상승,313506021,213.51,-64.83,3.29
15,75,침체+상승,330945168,230.95,-72.52,3.18
15,65,침체+상승,304767844,204.77,-64.74,3.16
5,65,침체+상승,319140322,219.14,-71.33,3.07
20,75,침체+상승,313247611,213.25,-72.85,2.93
20,65,침체+상승,272888721,172.89,-64.11,2.7
5,70,침체,106302815,6.3,-68.16,0.09
5,75,침체,106360652,6.36,-71.04,0.09
7,75,침체,100422908,0.42,-71.09,0.01
7,70,침체,99795556,-0.2,-68.35,-0.0
10,75,침체,88051186,-11.95,-70.21,-0.17
10,70,침체,87133084,-12.87,-67.47,-0.19
5,65,침체,84804818,-15.2,-68.69,-0.22
7,65,침체,81574029,-18.43,-68.68,-0.27
15,75,침체,78007606,-21.99,-68.23,-0.32
15,70,침체,78222084,-21.78,-65.63,-0.33
20,75,침체,75837549,-24.16,-65.46,-0.37
20,70,침체,76837906,-23.16,-63.29,-0.37
10,65,침체,74280782,-25.72,-67.83,-0.38
15,65,침체,66646359,-33.35,-65.63,-0.51
20,65,침체,65156750,-34.84,-63.29,-0.55
