split_count,profit_target,ma5_buy_split,ma20_buy_split,final_asset,return_rate,mdd,score
30,0.1,3,5,431986197,331.99,-12.47,234.21
30,0.1,3,3,428805188,328.81,-12.44,232.31
40,0.1,4,5,421589775,321.59,-12.39,228.0
30,0.1,4,4,421204468,321.2,-15.61,226.48
40,0.1,2,6,419276031,319.28,-12.42,226.6
40,0.1,4,6,418824538,318.82,-12.49,226.3
30,0.1,2,3,418317670,318.32,-12.4,226.03
30,0.1,2,4,418285204,318.29,-12.48,225.98
40,0.1,2,5,412403581,312.4,-12.35,222.5
30,0.15,4,4,412357895,312.36,-15.61,221.17
