Ticker,Strategy,split_count,profit_target,FinalAsset,Return,CAGR,MDD,WinRate,Trades,AvgHoldDays,ProfitFactor,IS_CAGR,OOS_CAGR,MDD_Worse,StabilityScore,OverfitRisk,Score
SOXX,original,40,7,107613391.0,7.61,0.3,-1.76,100.0,41,219.2,7632623.24,0.32,0.71,0.44,99.1,낮음,69.47
SOXX,original,40,12,107832460.0,7.83,0.3,-1.91,100.0,25,360.2,7700392.58,0.34,0.72,0.39,99.2,낮음,69.46
SOXX,original,40,5,107067548.0,7.07,0.28,-1.76,100.0,54,166.0,7197768.98,0.31,0.66,0.47,99.1,낮음,69.39
SOXX,original,40,15,108021097.0,8.02,0.31,-1.91,100.0,20,450.4,7798100.83,0.35,0.73,0.49,99.0,낮음,69.39
SOXX,original,40,10,107764645.0,7.76,0.3,-1.91,100.0,30,300.5,7894865.55,0.33,0.72,0.47,99.1,낮음,69.38
SOXX,original,30,7,110151188.0,10.15,0.39,-2.34,100.0,41,219.2,10176830.99,0.43,0.93,0.56,98.9,낮음,69.3
SOXX,original,30,12,110443280.0,10.44,0.4,-2.55,100.0,25,360.2,10267190.1,0.45,0.95,0.5,99.0,낮음,69.29
SOXX,original,30,15,110694797.0,10.69,0.41,-2.55,100.0,20,450.4,10397467.77,0.46,0.96,0.62,98.8,낮음,69.2
SOXX,original,30,5,109423397.0,9.42,0.36,-2.34,100.0,54,166.0,9597025.3,0.41,0.86,0.6,98.8,낮음,69.2
SOXX,original,30,10,110352859.0,10.35,0.4,-2.55,100.0,30,300.5,10526487.4,0.44,0.95,0.6,98.8,낮음,69.19
SOXX,original,20,12,115664920.0,15.66,0.59,-3.81,100.0,25,360.2,15400785.15,0.67,1.38,0.67,98.7,낮음,68.98
SOXX,original,20,7,115226783.0,15.23,0.57,-3.51,100.0,41,219.2,15265246.49,0.64,1.36,0.79,98.4,낮음,68.97
SOXX,original,20,15,116042195.0,16.04,0.6,-3.81,100.0,20,450.4,15596201.66,0.69,1.4,0.85,98.3,낮음,68.85
SOXX,original,20,5,114135096.0,14.14,0.54,-3.51,100.0,54,166.0,14395537.95,0.61,1.26,0.84,98.3,낮음,68.84
SOXX,original,20,10,115529289.0,15.53,0.58,-3.81,100.0,30,300.5,15789731.1,0.66,1.38,0.83,98.3,낮음,68.83
SOXX,original,15,12,120886560.0,20.89,0.77,-5.08,100.0,25,360.2,20534380.2,0.89,1.79,0.8,98.4,낮음,68.68
SOXX,original,15,7,120302377.0,20.3,0.75,-4.68,100.0,41,219.2,20353661.98,0.85,1.77,0.96,98.1,낮음,68.68
SOXX,original,15,15,121389593.0,21.39,0.79,-5.08,100.0,20,450.4,20794935.54,0.92,1.81,1.03,97.9,낮음,68.52
SOXX,original,15,5,118846794.0,18.85,0.7,-4.68,100.0,54,166.0,19194050.6,0.81,1.64,1.03,97.9,낮음,68.51
SOXX,original,15,10,120705719.0,20.71,0.76,-5.08,100.0,30,300.5,21052974.8,0.87,1.79,1.0,98.0,낮음,68.49
SOXX,original,10,12,131329841.0,31.33,1.11,-7.59,100.0,25,360.2,30801570.31,1.33,2.55,0.96,98.1,낮음,68.16
SOXX,original,10,7,130453565.0,30.45,1.08,-7.0,100.0,41,219.2,30530492.98,1.26,2.52,1.19,97.6,낮음,68.15
SOXX,original,10,15,132084390.0,32.08,1.13,-7.59,100.0,20,450.4,31192403.31,1.37,2.57,1.27,97.5,낮음,67.93
SOXX,original,10,5,128270192.0,28.27,1.01,-7.0,100.0,54,166.0,28791075.9,1.21,2.35,1.31,97.4,낮음,67.9
SOXX,original,10,10,131058578.0,31.06,1.1,-7.59,100.0,30,300.5,31579462.2,1.3,2.55,1.23,97.5,낮음,67.89
