판정,과최적화위험,RobustScore,분할수,CAGR,MDD,최근3년CAGR,2022_MDD,최대공백,장기공백,완료주기,PF,주변안정성,첫매수LOC,지정가%
유효 후보,보통,75.7,20,37.69,-54.41,64.0,-54.41,36,0,85,4.77,96.7,11.5,20.0
유효 후보,보통,75.7,20,37.69,-54.41,64.0,-54.41,36,0,85,4.77,96.7,12.0,20.0
유효 후보,보통,75.68,20,37.66,-54.41,64.0,-54.41,36,0,85,4.77,96.8,10.5,20.0
유효 후보,보통,75.68,20,37.66,-54.41,64.0,-54.41,36,0,85,4.77,96.8,11.0,20.0
유효 후보,보통,75.65,20,37.66,-54.41,64.0,-54.41,36,0,85,4.77,96.7,10.0,20.0
유효 후보,보통,74.01,20,36.63,-55.22,60.02,-48.02,22,0,58,4.78,99.8,10.5,25.0
유효 후보,보통,74.01,20,36.63,-55.22,60.02,-48.02,22,0,58,4.78,99.8,11.0,25.0
유효 후보,보통,74.01,20,36.63,-55.22,60.02,-48.02,22,0,58,4.78,99.8,11.5,25.0
유효 후보,보통,74.01,20,36.63,-55.22,60.02,-48.02,22,0,58,4.78,99.8,12.0,25.0
유효 후보,보통,73.97,20,36.61,-55.22,60.02,-48.02,22,0,58,4.77,99.8,10.0,25.0
유효 후보,보통,72.0,40,29.26,-48.38,51.94,-48.38,15,0,79,6.03,100.0,10.5,20.0
유효 후보,보통,72.0,40,29.26,-48.38,51.94,-48.38,15,0,79,6.03,100.0,11.0,20.0
유효 후보,보통,72.0,40,29.26,-48.38,51.94,-48.38,15,0,79,6.03,100.0,11.5,20.0
유효 후보,보통,72.0,40,29.26,-48.38,51.94,-48.38,15,0,79,6.03,100.0,12.0,20.0
유효 후보,보통,71.95,40,29.25,-48.38,51.89,-48.38,15,0,79,6.02,100.0,10.0,20.0
유효 후보,보통,71.4,20,36.35,-55.22,58.91,-54.41,36,0,66,4.37,100.0,10.5,22.5
유효 후보,보통,71.4,20,36.35,-55.22,58.91,-54.41,36,0,66,4.37,100.0,11.0,22.5
유효 후보,보통,71.4,20,36.35,-55.22,58.91,-54.41,36,0,66,4.37,100.0,11.5,22.5
유효 후보,보통,71.4,20,36.35,-55.22,58.91,-54.41,36,0,66,4.37,100.0,12.0,22.5
유효 후보,보통,71.39,40,30.02,-50.22,49.13,-50.22,14,0,95,5.67,98.8,10.0,17.5
유효 후보,보통,71.39,40,30.02,-50.22,49.13,-50.22,14,0,95,5.67,98.8,10.5,17.5
유효 후보,보통,71.39,40,30.02,-50.22,49.13,-50.22,14,0,95,5.67,98.8,11.0,17.5
유효 후보,보통,71.39,40,30.02,-50.22,49.13,-50.22,14,0,95,5.67,98.8,11.5,17.5
유효 후보,보통,71.39,40,30.02,-50.22,49.13,-50.22,14,0,95,5.67,98.8,12.0,17.5
유효 후보,보통,71.24,20,36.25,-55.22,58.91,-54.41,36,0,66,4.35,100.0,10.0,22.5
유효 후보,보통,69.53,40,27.57,-51.8,49.18,-51.8,15,0,102,6.12,100.0,10.0,15.0
유효 후보,보통,69.53,40,27.57,-51.8,49.18,-51.8,15,0,102,6.12,100.0,10.5,15.0
유효 후보,보통,69.53,40,27.57,-51.8,49.18,-51.8,15,0,102,6.12,100.0,11.0,15.0
유효 후보,보통,69.53,40,27.57,-51.8,49.18,-51.8,15,0,102,6.12,100.0,11.5,15.0
유효 후보,보통,69.53,40,27.57,-51.8,49.18,-51.8,15,0,102,6.12,100.0,12.0,15.0
유효 후보,보통,68.68,40,23.28,-45.53,38.66,-45.53,15,0,122,7.01,97.8,10.0,10.0
유효 후보,보통,68.68,40,23.28,-45.53,38.66,-45.53,15,0,122,7.01,97.8,10.5,10.0
유효 후보,보통,68.68,40,23.28,-45.53,38.66,-45.53,15,0,122,7.01,97.8,11.0,10.0
유효 후보,보통,68.68,40,23.28,-45.53,38.66,-45.53,15,0,122,7.01,97.8,11.5,10.0
유효 후보,보통,68.45,40,23.23,-45.53,38.33,-45.53,15,0,122,6.98,97.8,12.0,10.0
유효 후보,보통,68.38,40,28.81,-48.38,49.84,-48.38,14,0,65,5.65,100.0,10.0,22.5
유효 후보,보통,68.38,40,28.81,-48.38,49.84,-48.38,14,0,65,5.65,100.0,10.5,22.5
유효 후보,보통,68.38,40,28.81,-48.38,49.84,-48.38,14,0,65,5.65,100.0,11.0,22.5
유효 후보,보통,68.38,40,28.81,-48.38,49.84,-48.38,14,0,65,5.65,100.0,11.5,22.5
유효 후보,보통,68.38,40,28.81,-48.38,49.84,-48.38,14,0,65,5.65,100.0,12.0,22.5
유효 후보,보통,65.38,40,29.31,-52.54,49.4,-52.54,14,0,56,6.14,99.2,10.0,25.0
유효 후보,보통,64.88,20,34.62,-69.08,64.58,-53.72,55,0,97,4.47,100.0,10.0,17.5
유효 후보,보통,64.88,20,34.62,-69.08,64.58,-53.72,55,0,97,4.47,100.0,10.5,17.5
유효 후보,보통,64.88,20,34.62,-69.08,64.58,-53.72,55,0,97,4.47,100.0,11.0,17.5
유효 후보,보통,64.88,20,34.62,-69.08,64.58,-53.72,55,0,97,4.47,100.0,11.5,17.5
유효 후보,보통,64.88,20,34.62,-69.08,64.58,-53.72,55,0,97,4.47,100.0,12.0,17.5
유효 후보,보통,64.75,40,25.34,-48.62,38.27,-48.62,15,0,118,4.8,100.0,12.0,12.5
유효 후보,보통,64.69,40,25.32,-48.62,38.2,-48.62,15,0,118,4.79,100.0,10.0,12.5
유효 후보,보통,64.69,40,25.32,-48.62,38.2,-48.62,15,0,118,4.79,100.0,10.5,12.5
유효 후보,보통,64.69,40,25.32,-48.62,38.2,-48.62,15,0,118,4.79,100.0,11.0,12.5
유효 후보,보통,64.69,40,25.32,-48.62,38.2,-48.62,15,0,118,4.79,100.0,11.5,12.5
유효 후보,보통,63.9,20,33.59,-69.08,59.37,-54.26,55,0,107,4.13,100.0,10.0,15.0
유효 후보,보통,63.9,20,33.59,-69.08,59.37,-54.26,55,0,107,4.13,100.0,10.5,15.0
유효 후보,보통,63.9,20,33.59,-69.08,59.37,-54.26,55,0,107,4.13,100.0,11.0,15.0
유효 후보,보통,63.9,20,33.59,-69.08,59.37,-54.26,55,0,107,4.13,100.0,11.5,15.0
유효 후보,보통,63.9,20,33.59,-69.08,59.37,-54.26,55,0,107,4.13,100.0,12.0,15.0
관찰,높음,57.81,20,27.98,-62.75,50.77,-56.71,35,0,145,3.59,95.6,12.0,10.0
관찰,높음,57.73,20,27.96,-62.75,50.63,-56.71,35,0,145,3.59,95.6,10.5,10.0
관찰,높음,57.73,20,27.96,-62.75,50.63,-56.71,35,0,145,3.59,95.6,11.0,10.0
관찰,높음,57.73,20,27.96,-62.75,50.63,-56.71,35,0,145,3.59,95.6,11.5,10.0
관찰,높음,57.68,20,27.93,-62.75,50.63,-56.71,35,0,145,3.58,95.6,10.0,10.0
관찰,높음,57.31,20,30.72,-69.08,49.97,-54.74,55,0,124,3.4,100.0,12.0,12.5
관찰,높음,57.25,20,30.7,-69.08,49.83,-54.74,55,0,124,3.4,100.0,10.0,12.5
관찰,높음,57.25,20,30.7,-69.08,49.83,-54.74,55,0,124,3.4,100.0,10.5,12.5
관찰,높음,57.25,20,30.7,-69.08,49.83,-54.74,55,0,124,3.4,100.0,11.0,12.5
관찰,높음,57.25,20,30.7,-69.08,49.83,-54.74,55,0,124,3.4,100.0,11.5,12.5
관찰,높음,53.72,40,27.92,-62.88,49.38,-62.88,29,0,56,5.27,100.0,10.5,25.0
관찰,높음,53.72,40,27.92,-62.88,49.38,-62.88,29,0,56,5.27,100.0,11.0,25.0
관찰,높음,53.72,40,27.92,-62.88,49.38,-62.88,29,0,56,5.27,100.0,11.5,25.0
관찰,높음,53.72,40,27.92,-62.88,49.38,-62.88,29,0,56,5.27,100.0,12.0,25.0
